RT(milliseconds),TIC
0,906816
10,906626
20,906439
30,906601
40,906707
50,906791
60,906481
70,906296
80,906103
90,905995
100,905855
110,906130
120,906555
130,906665
140,906574
150,906295
160,906295
170,906167
180,906082
190,906080
200,906488
210,906617
220,906699
230,906405
240,906469
250,906487
260,906315
270,906246
280,906295
290,906698
300,906771
310,906939
320,906647
330,906407
340,906014
350,906046
360,906116
370,905945
380,905944
390,906157
400,906525
410,906452
420,906337
430,906606
440,906872
450,906889
460,906259
470,906041
480,906063
490,906362
500,906354
510,906067
520,906005
530,906161
540,906424
550,906416
560,906618
570,906847
580,907078
590,907010
600,906800
610,906896
620,906821
630,906580
640,906071
650,905925
660,906344
670,906726
680,906746
690,906482
700,906546
710,906694
720,906962
730,907023
740,906946
750,906644
760,906303
770,906018
780,906146
790,906265
800,906750
810,906474
820,906099
830,905853
840,906334
850,906634
860,906913
870,906609
880,906544
890,906395
900,906471
910,906623
920,906547
930,906452
940,906530
950,906641
960,906834
970,907027
980,906818
990,906810
1000,906778
1010,906971
1020,906583
1030,906351
1040,906529
1050,906750
1060,906591
1070,906408
1080,906506
1090,906590
1100,906544
1110,906521
1120,906421
1130,906386
1140,906566
1150,906765
1160,906757
1170,906493
1180,906389
1190,906371
1200,906443
1210,906639
1220,906461
1230,906270
1240,906306
1250,906662
1260,906681
1270,906457
1280,906349
1290,906528
1300,906536
1310,906134
1320,908571
1330,906802
1340,907016
1350,904588
1360,908027
1370,907698
1380,907525
1390,906354
1400,907796
1410,909290
1420,909956
1430,910670
1440,911500
1450,913166
1460,913463
1470,914628
1480,912463
1490,912278
1500,910022
1510,911147
1520,909296
1530,908215
1540,906768
1550,907085
1560,907396
1570,906511
1580,906366
1590,905942
1600,906741
1610,906216
1620,905977
1630,905234
1640,905347
1650,905246
1660,905315
1670,905200
1680,905159
1690,905318
1700,904878
1710,905028
1720,905030
1730,905353
1740,905248
1750,904973
1760,905071
1770,904656
1780,904462
1790,904719
1800,905476
1810,905651
1820,905237
1830,904715
1840,904674
1850,904686
1860,904807
1870,904806
1880,904586
1890,904774
1900,904907
1910,905096
1920,905064
1930,905233
1940,905447
1950,905266
1960,905117
1970,904847
1980,905096
1990,905028
2000,905153
2010,905371
2020,905687
2030,905848
2040,905586
2050,905441
2060,905526
2070,905513
2080,905260
2090,904966
2100,904836
2110,904833
2120,904981
2130,905173
2140,905824
2150,905738
2160,905595
2170,905303
2180,905501
2190,905672
2200,905624
2210,905678
2220,905619
2230,905501
2240,905285
2250,904966
2260,904773
2270,904949
2280,905409
2290,905635
2300,905420
2310,905065
2320,904899
2330,904954
2340,905069
2350,905290
2360,905431
2370,905666
2380,905657
2390,905850
2400,905846
2410,905939
2420,905321
2430,905002
2440,905156
2450,905303
2460,905416
2470,905146
2480,905264
2490,905227
2500,905376
2510,905933
2520,906194
2530,906063
2540,905533
2550,905541
2560,905640
2570,905884
2580,906137
2590,906212
2600,906124
2610,905951
2620,905621
2630,905466
2640,905284
2650,905363
2660,905420
2670,905151
2680,905310
2690,905428
2700,905509
2710,905539
2720,905329
2730,905659
2740,905792
2750,905819
2760,905641
2770,905654
2780,905751
2790,905783
2800,905482
2810,905516
2820,905432
2830,905726
2840,906029
2850,906111
2860,905812
2870,905569
2880,905718
2890,905923
2900,905876
2910,906082
2920,906018
2930,906008
2940,905793
2950,905951
2960,906108
2970,905840
2980,905366
2990,905261
3000,905561
3010,906173
3020,906136
3030,906014
3040,905761
3050,905707
3060,905508
3070,905576
3080,905623
3090,905810
3100,905730
3110,905803
3120,905857
3130,905875
3140,905771
3150,905834
3160,905741
3170,905606
3180,905501
3190,905868
3200,906296
3210,906276
3220,906116
3230,905963
3240,906181
3250,906268
3260,906215
3270,906176
3280,906206
3290,906391
3300,906368
3310,906464
3320,906316
3330,906283
3340,905977
3350,906006
3360,906067
3370,906159
3380,905935
3390,905612
3400,905669
3410,906270
3420,906566
3430,906351
3440,905859
3450,905865
3460,906123
3470,906371
3480,906311
3490,906126
3500,905803
3510,905818
3520,906030
3530,906381
3540,906482
3550,906356
3560,906176
3570,906180
3580,905896
3590,906010
3600,905906
3610,906321
3620,906392
3630,906435
3640,906509
3650,906483
3660,906480
3670,906268
3680,906241
3690,906141
3700,906064
3710,906354
3720,906551
3730,906407
3740,906176
3750,906196
3760,906345
3770,906169
3780,906216
3790,906301
3800,906281
3810,906178
3820,906196
3830,906244
3840,906037
3850,906071
3860,906438
3870,906626
3880,906408
3890,906063
3900,906351
3910,906566
3920,906661
3930,906175
3940,906213
3950,906424
3960,906833
3970,906921
3980,906524
3990,906519
4000,906375
4010,906581
4020,906238
4030,906150
4040,906371
4050,906645
4060,906615
4070,906172
4080,906059
4090,906214
4100,906434
4110,906320
4120,906301
4130,906329
4140,906521
4150,906571
4160,906542
4170,906600
4180,906598
4190,906675
4200,908400
4210,908974
4220,909089
4230,907426
4240,906815
4250,906614
4260,906532
4270,906515
4280,906554
4290,906605
4300,906681
4310,906428
4320,906391
4330,906611
4340,906823
4350,906455
4360,906191
4370,905929
4380,905676
4390,905581
4400,905680
4410,905936
4420,906119
4430,906367
4440,906611
4450,906440
4460,906328
4470,906275
4480,906213
4490,906047
4500,906059
4510,906067
4520,905838
4530,905994
4540,906428
4550,906737
4560,906530
4570,905992
4580,905905
4590,906136
4600,906384
4610,906263
4620,906026
4630,905812
4640,906176
4650,906390
4660,906569
4670,906621
4680,906601
4690,906649
4700,906576
4710,906416
